"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"228","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",33.5,0.742620019425073
"229","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",34,0.777555100984048
"230","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",34.5,0.792128020720078
"231","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",35,0.792128020720078
"232","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",35.5,0.753000729374025
"233","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",36,0.744270286134906
"234","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",36.5,0.716409901092423
"235","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",37,0.730025878744765
"236","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",37.5,0.726268752942319
"237","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",0,NA
"238","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",0.5,NA
"239","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",1,NA
"240","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",1.5,NA
"241","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",2,NA
"242","03Jul22_kk1216_ctrlRNAi_48h_CH11_postNEBD_05","ctrl","late maint.",2.5,NA
